"","videonames","duration","angles","individual","locomote_posture","acc_nearest_env_peak","acc_nearest_f0_peak","maxf0","synchrony","maxacc","maxamp"
"50","12_August_session1_2_3",2700,2,"Baju","56_LOCOMOTE_forelimb_swing",0.0489096222965178,413.139622158474,702.769499037001,80,0.00452189811194223,0.730923595941046
"51","12_August_session1_5_6",2560,3,"Baju","111_LOCOMOTE_Vertical_climb",0.0543193527394617,417.815149377894,784.304328918457,470,0.00372853923432891,0.84346709223984
"52","12_August_session1_9_10",2880,3,"Baju","56_LOCOMOTE_forelimb_swing",0.0923756095726399,396.733734130859,774.187546624078,40,0.00584714965893655,0.738038164829791
"53","13_June_session1_0_1",2260,2,"Baju","56_LOCOMOTE_forelimb_swing",0.0461957287003944,404.283901638455,791.317074245877,450,0.00659525502884536,0.459426970555106
"54","13_June_session1_2_3",2220,1,"Baju","111_LOCOMOTE_Vertical_climb",0.327898728561901,480.817352294922,533.987426757812,0,0.0030071549937365,0.854072109625778
"55","13_June_session1_4_5",2480,2,"Baju","31_LOCOMOTE_Brachiate",0.0284849608991424,478.223327071578,548.901780022515,40,0.00513115738392451,0.55517918477295
"56","13_June_session1_5_6",2600,2,"Baju","35_LOCOMOTE_Flexed_bipedal_walk",0.24668676110009,488.087869149667,527.75899025246,490,0.00542315756911376,0.575972067428451
"57","16_June_session1_0_1",2600,2,"Fajar","56_LOCOMOTE_forelimb_swing",0.0500098611465194,413.467864990234,699.542008294,30,0.0657253419416569,0.77753903536707
"58","18_June_session1_14_15",2880,2,"Fajar","undefined",0.0435133974892687,378.204561869303,786.255216810438,0,0.0046427097952716,0.454537110528476
"59","18_June_session1_16_17",3160,2,"Fajar","undefined",0.0243587271554805,415.425738864475,782.787588331435,30,0.00512879638302279,0.509487526239627
"60","18_June_session1_5_6",2540,1,"Fajar","111_LOCOMOTE_Vertical_climb",0.0308111353863249,421.114428484881,712.168030538677,100,0.00136267333262545,0.443778945473294
"61","18_June_session1_7_8",2680,2,"Fajar","56_LOCOMOTE_forelimb_swing",0.0493004010703697,391.17310333252,782.333717346191,30,0.00410796401799143,0.481553452855677
"62","18_June_session1_9_10",2680,1,"Fajar","4_Bimanual_forelimb_suspend",0.0288103228784659,375.992834726969,769.972509172228,40,0.00310933851737902,0.609864628446697
"63","21_August_session1_10_11",3540,2,"Fajar","undefined",0.0157618265605867,434.841331199363,789.665514628093,30,0.00421547928799874,0.650933299523475
"64","21_August_session1_8_9",3480,2,"Fajar","4_Bimanual_forelimb_suspend",0.00934596615679069,420.227754946108,720.121550383391,30,0.0013277830455719,0.575970597341654
